age,taille,Habitat,sexe,stade_evolution
15,19,Grotte,male,1
13,18,Montagne,male,1
17,23,Desert,male,1
28,40,Plaine,femelle,3
21,37,Grotte,femelle,2
27,36,Marecage,femelle,3
4,4,Marecage,male,1
12,21,Montagne,femelle,2
3,3,Desert,femelle,1
3,4,Foret,male,1
21,22,Plaine,male,2
26,43,Foret,male,2
16,26,Foret,femelle,2
30,58,Grotte,femelle,3
2,3,Montagne,femelle,1
22,24,Marecage,male,2
8,12,Marecage,femelle,1
17,29,Grotte,male,1
30,35,Plaine,male,3
21,25,Marecage,femelle,2
22,27,Desert,femelle,2
7,10,Marecage,male,1
16,30,Marecage,femelle,2
5,8,Foret,femelle,2
19,35,Montagne,male,2
13,20,Plaine,male,2
9,16,Marecage,male,1
17,32,Plaine,male,2
16,29,Grotte,femelle,2
29,43,Grotte,femelle,3
22,23,Grotte,femelle,2
2,2,Grotte,male,0
4,5,Foret,male,1
2,3,Desert,femelle,1
16,23,Marecage,male,1
25,35,Montagne,femelle,3
9,15,Desert,male,1
23,29,Plaine,femelle,3
22,27,Marecage,male,2
13,22,Plaine,male,2
2,3,Montagne,femelle,1
21,31,Foret,male,2
7,13,Marecage,femelle,1
18,21,Montagne,male,2
3,4,Grotte,male,1
12,14,Desert,male,1
26,39,Grotte,femelle,2
24,26,Desert,male,1
30,55,Montagne,male,3
20,33,Plaine,femelle,3
20,20,Desert,femelle,2
13,18,Montagne,male,1
17,30,Marecage,male,2
27,48,Grotte,femelle,3
21,29,Plaine,femelle,3
24,30,Grotte,male,2
16,17,Montagne,femelle,2
11,14,Foret,femelle,2
1,1,Desert,femelle,1
20,33,Montagne,femelle,2
7,13,Grotte,femelle,1
25,27,Desert,femelle,2
4,6,Plaine,male,1
11,18,Plaine,male,2
23,41,Desert,male,2
19,34,Montagne,femelle,2
24,47,Desert,male,2
23,44,Desert,femelle,2
28,37,Montagne,femelle,3
28,31,Montagne,femelle,3
3,3,Montagne,male,1
4,5,Foret,femelle,2
24,43,Plaine,male,3
30,32,Foret,male,2
21,27,Foret,femelle,2
15,20,Grotte,femelle,2
13,15,Marecage,femelle,2
9,17,Marecage,male,1
27,36,Marecage,male,2
30,40,Foret,male,3
30,59,Desert,male,2
1,1,Foret,femelle,1
13,24,Plaine,femelle,2
22,30,Montagne,femelle,2
20,33,Plaine,male,2
2,3,Marecage,femelle,1
21,28,Desert,male,1
11,18,Marecage,male,1
7,10,Montagne,femelle,2
28,43,Grotte,femelle,2
29,51,Plaine,femelle,3
19,23,Montagne,male,2
5,7,Plaine,male,1
10,11,Grotte,femelle,1
29,29,Grotte,femelle,2
29,38,Foret,femelle,3
28,30,Foret,femelle,3
18,35,Foret,male,2
19,22,Plaine,femelle,3
